open_time,open,high,low,close,volume,n_trades
2023-06-08 02:15:00+00:00,261.14,261.88,260.66,261.68,16790.8,5667
2023-06-08 02:30:00+00:00,261.67,261.67,261.04,261.45,12011.21,4517
2023-06-08 02:45:00+00:00,261.46,261.46,260.05,260.18,16749.92,6711
2023-06-08 03:00:00+00:00,260.18,260.51,258.48,258.8,34979.55,12966
2023-06-08 03:15:00+00:00,258.81,259.49,257.14,257.5,35122.16,13675
2023-06-08 03:30:00+00:00,257.5,258.41,257.04,258.25,37132.85,14160
2023-06-08 03:45:00+00:00,258.24,258.74,257.41,258.73,24047.96,8559
2023-06-08 04:00:00+00:00,258.73,260.0,258.53,259.76,26897.54,10936
2023-06-08 04:15:00+00:00,259.76,259.92,259.26,259.45,11042.32,4299
2023-06-08 04:30:00+00:00,259.45,260.26,259.45,259.53,18192.45,6349
2023-06-08 04:45:00+00:00,259.54,260.3,259.47,259.9,11938.03,4776
2023-06-08 05:00:00+00:00,259.91,261.16,259.91,261.08,17209.33,7629
2023-06-08 05:15:00+00:00,261.08,261.26,260.46,260.91,15261.32,6449
2023-06-08 05:30:00+00:00,260.92,261.11,259.87,259.98,13815.21,6005
2023-06-08 05:45:00+00:00,259.97,260.1,259.25,259.34,20233.21,7064
2023-06-08 06:00:00+00:00,259.35,259.53,258.36,258.61,22278.54,8829
2023-06-08 06:15:00+00:00,258.61,259.55,258.57,258.95,13098.33,5285
2023-06-08 06:30:00+00:00,258.95,260.78,258.95,260.58,22341.75,7839
2023-06-08 06:45:00+00:00,260.57,260.74,259.79,260.34,15151.49,5999
2023-06-08 07:00:00+00:00,260.35,261.81,260.03,261.41,22486.88,9587
2023-06-08 07:15:00+00:00,261.42,262.01,260.68,261.84,16591.31,7089
2023-06-08 07:30:00+00:00,261.85,262.46,261.29,261.45,23586.3,9148
2023-06-08 07:45:00+00:00,261.47,261.7,260.69,260.82,16761.3,6288
2023-06-08 08:00:00+00:00,260.82,261.61,260.73,261.26,20889.47,7860
2023-06-08 08:15:00+00:00,261.26,261.89,261.19,261.79,15917.75,5848
2023-06-08 08:30:00+00:00,261.79,262.34,261.29,262.25,17324.0,6512
2023-06-08 08:45:00+00:00,262.26,262.38,261.78,262.13,17260.41,6697
2023-06-08 09:00:00+00:00,262.13,262.83,261.25,261.48,26943.42,9666
2023-06-08 09:15:00+00:00,261.49,262.0,261.28,261.37,10491.33,4485
2023-06-08 09:30:00+00:00,261.37,261.71,260.75,261.11,15227.48,6293
2023-06-08 09:45:00+00:00,261.1,261.22,260.26,260.83,22677.7,7833
2023-06-08 10:00:00+00:00,260.83,261.17,260.65,260.89,11093.73,5237
2023-06-08 10:15:00+00:00,260.89,261.52,260.65,261.27,13741.92,5527
2023-06-08 10:30:00+00:00,261.29,262.21,261.03,262.18,16347.17,6804
2023-06-08 10:45:00+00:00,262.18,262.9,261.6,262.75,25206.42,9882
2023-06-08 11:00:00+00:00,262.75,264.03,262.51,263.14,41023.34,17495
2023-06-08 11:15:00+00:00,263.14,263.4,262.5,262.64,21046.31,8294
2023-06-08 11:30:00+00:00,262.65,267.25,262.64,265.27,109918.25,42768
2023-06-08 11:45:00+00:00,265.26,266.27,264.27,264.87,54112.27,19826
2023-06-08 12:00:00+00:00,264.87,265.52,264.44,264.79,33296.13,13669
2023-06-08 12:15:00+00:00,264.78,264.95,263.91,264.02,21822.45,10085
2023-06-08 12:30:00+00:00,264.02,265.96,263.99,265.46,46289.22,17800
2023-06-08 12:45:00+00:00,265.46,267.75,265.4,265.5,62911.29,24816
2023-06-08 13:00:00+00:00,265.5,265.95,263.5,264.91,70905.05,24989
2023-06-08 13:15:00+00:00,264.91,265.23,264.0,264.32,31943.92,12062
2023-06-08 13:30:00+00:00,264.32,265.61,263.61,265.17,44992.74,15651
2023-06-08 13:45:00+00:00,265.17,265.18,264.23,264.65,20613.28,8826
2023-06-08 14:00:00+00:00,264.66,264.82,263.95,264.26,22665.28,9209
2023-06-08 14:15:00+00:00,264.27,265.09,263.44,264.91,29263.3,10382
2023-06-08 14:30:00+00:00,264.9,267.35,264.67,265.66,69406.42,25988
2023-06-08 14:45:00+00:00,265.65,266.61,265.34,265.96,39281.52,13608
2023-06-08 15:00:00+00:00,265.96,266.34,264.14,264.44,49842.76,14948
2023-06-08 15:15:00+00:00,264.44,265.2,264.21,264.94,24533.28,9058
2023-06-08 15:30:00+00:00,264.93,266.02,264.67,265.76,32600.67,10380
2023-06-08 15:45:00+00:00,265.77,266.52,264.98,265.18,36162.64,12250
2023-06-08 16:00:00+00:00,265.17,265.37,264.39,264.61,23720.43,9503
2023-06-08 16:15:00+00:00,264.61,264.72,263.78,264.04,27841.25,10367
2023-06-08 16:30:00+00:00,264.04,264.42,262.97,262.97,37054.56,12759
2023-06-08 16:45:00+00:00,262.98,263.15,261.05,262.76,77848.95,27578
2023-06-08 17:00:00+00:00,262.75,263.04,261.76,262.78,31637.53,11521
2023-06-08 17:15:00+00:00,262.77,263.33,262.68,263.07,21386.72,8409
2023-06-08 17:30:00+00:00,263.06,263.21,262.52,263.09,19541.01,7074
2023-06-08 17:45:00+00:00,263.09,263.2,262.58,262.97,10394.22,4665
2023-06-08 18:00:00+00:00,262.98,263.08,262.2,262.36,13901.75,5646
2023-06-08 18:15:00+00:00,262.37,263.41,262.15,263.41,14986.7,5263
2023-06-08 18:30:00+00:00,263.41,264.35,263.07,264.35,27066.32,11312
2023-06-08 18:45:00+00:00,264.34,264.42,263.66,263.83,11573.83,5382
2023-06-08 19:00:00+00:00,263.84,264.38,263.65,264.04,12033.23,5644
2023-06-08 19:15:00+00:00,264.05,264.33,263.75,263.97,7865.28,2958
2023-06-08 19:30:00+00:00,263.97,264.23,263.84,263.97,5392.57,3265
2023-06-08 19:45:00+00:00,263.98,264.44,263.8,264.27,6719.24,3663
2023-06-08 20:00:00+00:00,264.26,264.65,264.05,264.24,9176.3,4960
2023-06-08 20:15:00+00:00,264.24,265.06,264.23,264.59,9836.3,5474
2023-06-08 20:30:00+00:00,264.6,265.26,264.49,264.67,12022.75,5521
2023-06-08 20:45:00+00:00,264.68,264.89,264.41,264.72,7197.32,3330
2023-06-08 21:00:00+00:00,264.72,264.76,264.14,264.58,7294.42,3739
2023-06-08 21:15:00+00:00,264.57,264.57,263.88,263.98,7112.42,3543
2023-06-08 21:30:00+00:00,263.97,263.97,263.15,263.17,13784.99,6002
2023-06-08 21:45:00+00:00,263.18,263.43,262.6,262.96,12907.83,6032
2023-06-08 22:00:00+00:00,262.96,263.67,262.68,263.5,10332.41,4922
2023-06-08 22:15:00+00:00,263.51,263.91,263.38,263.67,6827.98,3394
2023-06-08 22:30:00+00:00,263.68,263.9,263.45,263.46,6636.3,3446
2023-06-08 22:45:00+00:00,263.47,263.47,262.73,263.19,12039.67,4619
2023-06-08 23:00:00+00:00,263.19,263.19,262.6,262.69,9237.81,4395
2023-06-08 23:15:00+00:00,262.7,263.01,261.59,262.39,25863.83,8700
2023-06-08 23:30:00+00:00,262.38,262.57,261.51,262.06,19314.94,6831
2023-06-08 23:45:00+00:00,262.06,262.43,261.78,261.96,11773.28,4670
2023-06-09 00:00:00+00:00,261.96,262.45,261.27,262.4,23374.33,8897
2023-06-09 00:15:00+00:00,262.4,262.44,261.51,261.81,12688.13,4542
2023-06-09 00:30:00+00:00,261.82,262.0,261.53,261.79,9001.49,3559
2023-06-09 00:45:00+00:00,261.78,261.94,260.6,261.12,23591.15,7945
2023-06-09 01:00:00+00:00,261.13,261.13,260.43,260.51,18275.68,7447
2023-06-09 01:15:00+00:00,260.5,262.03,260.5,261.69,23300.53,7112
2023-06-09 01:30:00+00:00,261.69,263.0,261.68,262.41,23972.03,9367
2023-06-09 01:45:00+00:00,262.41,262.62,261.3,261.3,12555.48,5069
2023-06-09 02:00:00+00:00,261.3,261.59,260.36,261.13,23122.25,8264
2023-06-09 02:15:00+00:00,261.13,261.19,257.86,259.57,72061.36,28008
2023-06-09 02:30:00+00:00,259.58,259.87,257.43,258.31,47471.11,19124
2023-06-09 02:45:00+00:00,258.3,259.4,258.11,258.47,29485.72,11639
2023-06-09 03:00:00+00:00,258.47,259.51,258.35,259.51,23332.91,8699
2023-06-09 03:15:00+00:00,259.5,259.66,258.92,259.07,16104.61,5773
2023-06-09 03:30:00+00:00,259.08,260.17,259.03,259.98,20873.58,7819
2023-06-09 03:45:00+00:00,259.98,260.59,259.62,260.18,21766.06,7320
2023-06-09 04:00:00+00:00,260.18,260.47,259.78,260.31,14551.91,5541
2023-06-09 04:15:00+00:00,260.31,260.69,259.72,259.9,13827.93,5300
2023-06-09 04:30:00+00:00,259.9,260.12,259.37,259.46,14234.05,5708
2023-06-09 04:45:00+00:00,259.47,260.84,259.39,260.46,16842.56,6867
2023-06-09 05:00:00+00:00,260.45,260.92,260.34,260.92,13611.2,5409
2023-06-09 05:15:00+00:00,260.92,261.33,260.59,260.79,15854.03,5723
2023-06-09 05:30:00+00:00,260.79,260.8,260.04,260.23,13338.89,5266
2023-06-09 05:45:00+00:00,260.23,260.68,260.14,260.64,9314.5,4385
2023-06-09 06:00:00+00:00,260.64,260.65,259.22,259.44,21242.5,7856
2023-06-09 06:15:00+00:00,259.44,260.34,259.36,259.91,21622.76,6341
2023-06-09 06:30:00+00:00,259.93,259.98,259.11,259.6,15441.5,5714
2023-06-09 06:45:00+00:00,259.59,259.64,258.31,258.5,20673.5,8959
2023-06-09 07:00:00+00:00,258.51,258.52,257.5,257.59,35469.9,12510
2023-06-09 07:15:00+00:00,257.6,257.72,256.0,256.21,65359.9,21985
2023-06-09 07:30:00+00:00,256.21,257.35,255.47,257.0,56146.72,21234
2023-06-09 07:45:00+00:00,256.99,258.41,256.98,258.3,43054.74,14778
2023-06-09 08:00:00+00:00,258.3,258.77,257.4,257.85,34474.27,11826
2023-06-09 08:15:00+00:00,257.85,259.18,257.8,258.9,38418.68,13901
2023-06-09 08:30:00+00:00,258.91,259.26,258.64,258.72,25748.79,9120
2023-06-09 08:45:00+00:00,258.72,259.66,258.66,259.66,22898.41,9964
2023-06-09 09:00:00+00:00,259.66,260.25,259.23,259.43,25455.1,9939
2023-06-09 09:15:00+00:00,259.44,259.65,258.87,258.95,16711.66,6179
2023-06-09 09:30:00+00:00,258.95,260.4,258.94,260.33,24196.95,8912
2023-06-09 09:45:00+00:00,260.32,260.89,260.23,260.31,29195.72,9980
2023-06-09 10:00:00+00:00,260.32,260.86,259.49,259.72,30367.45,9727
2023-06-09 10:15:00+00:00,259.71,260.22,259.41,259.44,15881.05,6629
2023-06-09 10:30:00+00:00,259.44,260.67,259.4,260.41,22175.35,6903
2023-06-09 10:45:00+00:00,260.4,261.58,260.26,260.9,24058.08,10814
2023-06-09 11:00:00+00:00,260.91,261.0,260.45,260.63,15680.07,6625
2023-06-09 11:15:00+00:00,260.64,260.71,260.04,260.4,13615.54,6051
2023-06-09 11:30:00+00:00,260.41,260.61,259.86,260.4,16313.6,5792
2023-06-09 11:45:00+00:00,260.39,261.03,260.38,260.73,13580.48,5687
2023-06-09 12:00:00+00:00,260.73,262.54,260.72,261.6,38707.38,15955
2023-06-09 12:15:00+00:00,261.61,262.26,261.31,262.01,19920.59,8351
2023-06-09 12:30:00+00:00,262.01,263.39,262.01,263.02,44826.58,16740
2023-06-09 12:45:00+00:00,263.02,264.44,262.47,264.13,53188.17,19166
2023-06-09 13:00:00+00:00,264.14,264.77,263.29,263.43,46973.87,16801
2023-06-09 13:15:00+00:00,263.43,264.23,262.47,262.63,40119.02,13382
2023-06-09 13:30:00+00:00,262.65,262.93,261.89,261.98,39719.25,14107
2023-06-09 13:45:00+00:00,261.99,262.63,261.59,261.76,29551.06,11143
2023-06-09 14:00:00+00:00,261.77,262.69,261.71,262.5,21960.61,9881
2023-06-09 14:15:00+00:00,262.49,262.99,262.1,262.35,18044.49,7661
2023-06-09 14:30:00+00:00,262.35,264.14,261.51,262.1,61498.99,23619
2023-06-09 14:45:00+00:00,262.09,262.41,261.2,262.19,33799.36,11972
2023-06-09 15:00:00+00:00,262.19,263.38,262.03,262.9,28585.87,9877
2023-06-09 15:15:00+00:00,262.91,263.5,262.51,262.62,21231.14,7789
2023-06-09 15:30:00+00:00,262.62,263.25,262.5,262.66,21124.84,6437
2023-06-09 15:45:00+00:00,262.66,262.74,260.7,261.17,45074.59,15458
2023-06-09 16:00:00+00:00,261.17,262.74,260.28,262.24,48850.5,19314
2023-06-09 16:15:00+00:00,262.23,262.7,261.65,262.4,23749.34,8714
2023-06-09 16:30:00+00:00,262.4,262.93,261.86,262.27,23670.54,8453
2023-06-09 16:45:00+00:00,262.28,262.73,261.89,262.34,19210.87,7087
2023-06-09 17:00:00+00:00,262.34,262.38,261.14,261.57,23159.14,8517
2023-06-09 17:15:00+00:00,261.57,262.52,261.57,261.97,19449.67,6577
2023-06-09 17:30:00+00:00,261.97,262.69,261.75,262.34,13377.44,5208
2023-06-09 17:45:00+00:00,262.35,262.35,261.73,261.95,14043.31,4645
2023-06-09 18:00:00+00:00,261.95,262.43,261.48,261.54,9275.47,4476
2023-06-09 18:15:00+00:00,261.55,261.89,261.08,261.44,15666.37,6776
2023-06-09 18:30:00+00:00,261.43,261.52,260.81,261.47,16561.31,6809
2023-06-09 18:45:00+00:00,261.46,261.47,260.76,261.16,14936.06,6727
