low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.1,0.95,0.6,545,460,85,0.3011336067936454,1.7643342872977479,0.3011336067936454
0.1,0.975,0.4,507,425,82,0.28546800349460777,1.4166377461977735,0.28546800349460777
0.1,0.975,0.45,507,425,82,0.27783851486733185,1.5154655222752431,0.27783851486733185
0.1,0.975,0.5,507,425,82,0.25046670526692616,1.5190147022659337,0.25046670526692616
0.1,0.975,0.55,507,425,82,0.31023037320449376,1.6158663914931606,0.31023037320449376
0.1,0.975,0.6,507,425,82,0.3084634034014555,1.6675548315235316,0.3084634034014555
0.1,0.99,0.4,481,401,80,0.2521000694165067,1.050850521212469,0.2521000694165067
0.1,0.99,0.45,481,401,80,0.24233320849229598,1.1420132119818764,0.24233320849229598
0.1,0.99,0.5,481,401,80,0.22011090888173004,1.1489414959664255,0.22011090888173004
0.1,0.99,0.55,481,401,80,0.28055738028181054,1.2612932575994003,0.28055738028181054
0.1,0.99,0.6,481,401,80,0.2736772777846696,1.3373856636882258,0.2736772777846696
0.2,0.7,0.4,1163,987,176,0.3012557009761385,1.1952595806799502,0.3012557009761385
0.2,0.7,0.45,1163,987,176,0.2522911645116673,1.0428704763029564,0.2522911645116673
0.2,0.7,0.5,1165,989,176,0.20147345801454447,1.2258666762611066,0.20147345801454447
0.2,0.7,0.55,1166,990,176,0.31130267852241056,1.1112900734809672,0.31130267852241056
0.2,0.7,0.6,1173,997,176,0.31918643777814953,1.2161418901140875,0.31918643777814953
0.2,0.8,0.4,993,846,147,0.3236504855303864,1.1329175596023335,0.3236504855303864
0.2,0.8,0.45,993,846,147,0.29257189420604734,1.079040643985347,0.29257189420604734
0.2,0.8,0.5,994,847,147,0.2673464480573281,1.076831693952809,0.2673464480573281
0.2,0.8,0.55,995,848,147,0.33940076255305657,1.1033974998222453,0.33940076255305657
0.2,0.8,0.6,995,848,147,0.3358240652170396,1.2340981516746345,0.3358240652170396
0.2,0.9,0.4,794,675,119,0.4301676239316179,1.4222856578241225,0.4301676239316179
0.2,0.9,0.45,794,675,119,0.3841851238511076,1.4927460402482515,0.3841851238511076
0.2,0.9,0.5,794,675,119,0.40462171458514185,1.603053595800659,0.40462171458514185
0.2,0.9,0.55,794,675,119,0.4897858908338843,1.8139052010030685,0.4897858908338843
0.2,0.9,0.6,794,675,119,0.4581722806726951,1.813872243895827,0.4581722806726951
0.2,0.92,0.4,758,645,113,0.6620021629447245,1.1484393915571125,0.6620021629447245
0.2,0.92,0.45,758,645,113,0.6266949951163133,1.188377322892645,0.6266949951163133
0.2,0.92,0.5,758,645,113,0.6215582321887937,1.293746011702206,0.6215582321887937
0.2,0.92,0.55,758,645,113,0.6994952755900672,1.5713262538465491,0.6994952755900672
0.2,0.92,0.6,758,645,113,0.6527204610309065,1.540419636945937,0.6527204610309065
0.2,0.95,0.4,705,603,102,0.3867479088642153,0.7668386371250387,0.3867479088642153
0.2,0.95,0.45,705,603,102,0.35959544437370816,0.8559521006308258,0.35959544437370816
0.2,0.95,0.5,705,603,102,0.35129861191830636,0.9417493694451446,0.35129861191830636
