low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,20.0,0.05,100,2500,300,1016,851,165,0.5844204133242,-0.9615736612763439,-0.9615736612763439
0.3,0.92,0.55,20.0,0.05,200,750,150,931,791,140,0.05844296982032949,0.487820200549899,0.05844296982032949
0.3,0.92,0.55,20.0,0.05,200,750,300,792,669,123,-0.40530943207599796,0.49168805105289776,-0.40530943207599796
0.3,0.92,0.55,20.0,0.05,200,1500,150,839,699,140,-0.08006829151669922,0.6644227811491226,-0.08006829151669922
0.3,0.92,0.55,20.0,0.05,200,1500,300,704,581,123,-0.27877334939604326,0.4171228926478322,-0.27877334939604326
0.3,0.92,0.55,20.0,0.05,200,2500,150,815,675,140,0.04189195554328139,0.6098451358091148,0.04189195554328139
0.3,0.92,0.55,20.0,0.05,200,2500,300,676,553,123,-0.12583527136801562,0.3214452420519184,-0.12583527136801562
0.3,0.92,0.55,20.0,0.05,400,750,150,824,694,130,0.11945046541092803,0.860311744186569,0.11945046541092803
0.3,0.92,0.55,20.0,0.05,400,750,300,620,529,91,0.3300729028857918,1.3181095780706373,0.3300729028857918
0.3,0.92,0.55,20.0,0.05,400,1500,150,703,599,104,0.8442609703104166,1.140697491822032,0.8442609703104166
0.3,0.92,0.55,20.0,0.05,400,1500,300,508,436,72,0.6607281182608756,1.611868165415856,0.6607281182608756
