low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.08,0.95,0.45,542,448,94,0.45935873860072657,0.4380243386280841,0.4380243386280841
0.08,0.95,0.5,543,448,95,0.2923400525547122,0.6382920498128423,0.2923400525547122
0.08,0.95,0.55,543,448,95,0.27471468452251147,0.5130131912764594,0.27471468452251147
0.08,0.95,0.6,544,449,95,0.312307257714898,0.778874671937178,0.312307257714898
0.08,0.975,0.4,489,407,82,0.21569197015838817,0.32508143195035516,0.21569197015838817
0.08,0.975,0.45,484,403,81,0.3581602796025117,0.5892006739900998,0.3581602796025117
0.08,0.975,0.5,486,404,82,0.2050698902270549,0.7395742668410697,0.2050698902270549
0.08,0.975,0.55,485,403,82,0.12110788119210518,0.6243595738232982,0.12110788119210518
0.08,0.975,0.6,486,404,82,0.09112214588786857,0.7471789851270209,0.09112214588786857
0.08,0.99,0.4,457,381,76,0.2068401997068238,0.2424420228611233,0.2068401997068238
0.08,0.99,0.45,452,377,75,0.36834853978040005,0.4938101673055207,0.36834853978040005
0.08,0.99,0.5,454,378,76,0.23111248007837926,0.7265705101764592,0.23111248007837926
0.08,0.99,0.55,453,377,76,0.14589741468594578,0.8015874590916028,0.14589741468594578
0.08,0.99,0.6,453,377,76,0.0943774105354116,0.9405730428499829,0.0943774105354116
0.1,0.7,0.4,948,793,155,0.5308381335283708,0.5185099214531721,0.5185099214531721
0.1,0.7,0.45,955,798,157,0.5212119918327575,0.6677120543896231,0.5212119918327575
0.1,0.7,0.5,966,807,159,0.3327699784221052,0.8382769121037219,0.3327699784221052
0.1,0.7,0.55,980,819,161,0.3403005478820728,0.7823921156586661,0.3403005478820728
0.1,0.7,0.6,1003,838,165,0.3110051232821264,0.5626601182926562,0.3110051232821264
0.1,0.8,0.4,824,683,141,0.5452751402381525,-0.20100437761090728,-0.20100437761090728
