low_q,high_q,mid_q,adx_threshold,atr_stop_multiple,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,20.0,20.0,200,750,300,709,600,109,0.1765997976180719,1.1118450550046406,0.1765997976180719
0.01,0.7,0.4,20.0,20.0,200,1500,150,764,658,106,0.14772893510700397,1.312290174132504,0.14772893510700397
0.01,0.7,0.4,20.0,20.0,200,1500,300,626,536,90,0.4593660049349899,1.1378225916222622,0.4593660049349899
0.01,0.7,0.4,20.0,20.0,200,2500,150,719,616,103,0.16376338669686882,0.7037054250774587,0.16376338669686882
0.01,0.7,0.4,20.0,20.0,200,2500,300,569,484,85,0.33438425538075056,1.1615598651029648,0.33438425538075056
0.01,0.7,0.4,20.0,20.0,400,750,150,797,678,119,-0.04471729512517468,-0.271607821984754,-0.271607821984754
0.01,0.7,0.4,20.0,20.0,400,750,300,569,484,85,0.32775790237968705,-0.4808147986118935,-0.4808147986118935
0.01,0.7,0.4,20.0,20.0,400,1500,150,703,601,102,0.35717536068041206,0.6841126623145679,0.35717536068041206
0.01,0.7,0.4,20.0,20.0,400,1500,300,499,426,73,0.48062147898325097,1.027292279592803,0.48062147898325097
0.01,0.7,0.4,20.0,20.0,400,2500,150,652,553,99,0.10015563886112556,0.1439428196194115,0.10015563886112556
0.01,0.7,0.4,20.0,20.0,400,2500,300,456,383,73,0.17502293896175086,0.40257015166823495,0.17502293896175086
0.01,0.7,0.4,20.0,20.0,500,750,150,797,682,115,0.0851464617886114,-0.8164583155230364,-0.8164583155230364
0.01,0.7,0.4,20.0,20.0,500,750,300,564,484,80,0.26413036826609737,-1.4458112933492957,-1.4458112933492957
0.01,0.7,0.4,20.0,20.0,500,1500,150,707,605,102,-0.24373767012322287,-0.03261738515858621,-0.24373767012322287
0.01,0.7,0.4,20.0,20.0,500,1500,300,490,419,71,0.2122987114627298,0.24621890499805496,0.2122987114627298
0.01,0.7,0.4,20.0,20.0,500,2500,150,641,546,95,-0.3406827009629016,-0.3934417226622497,-0.3934417226622497
0.01,0.7,0.4,20.0,20.0,500,2500,300,445,376,69,0.04180425984761091,-0.0014461379306658004,-0.0014461379306658004
0.01,0.7,0.4,25.0,6.0,100,750,150,1413,1191,222,0.20472243108100238,0.49142440632773593,0.20472243108100238
0.01,0.7,0.4,25.0,6.0,100,750,300,1316,1104,212,0.2805600844768572,1.053226363971173,0.2805600844768572
0.01,0.7,0.4,25.0,6.0,100,1500,150,1290,1096,194,-0.09186076977408895,1.2695235194430634,-0.09186076977408895
0.01,0.7,0.4,25.0,6.0,100,1500,300,1177,994,183,0.19847308310371703,1.3096149282985792,0.19847308310371703
0.01,0.7,0.4,25.0,6.0,100,2500,150,1209,1026,183,0.2708879985370128,1.0917865277859666,0.2708879985370128
0.01,0.7,0.4,25.0,6.0,100,2500,300,1087,914,173,0.49336821113923074,1.22157155932972,0.49336821113923074
0.01,0.7,0.4,25.0,6.0,200,750,150,1134,961,173,0.0039043972646801506,0.22307477985010438,0.0039043972646801506
0.01,0.7,0.4,25.0,6.0,200,750,300,975,826,149,0.19102776702648386,0.43702764379620784,0.19102776702648386
0.01,0.7,0.4,25.0,6.0,200,1500,150,1019,862,157,0.07510961710658702,1.0060741471379582,0.07510961710658702
0.01,0.7,0.4,25.0,6.0,200,1500,300,850,722,128,0.39397223612175414,0.9926171254941535,0.39397223612175414
0.01,0.7,0.4,25.0,6.0,200,2500,150,960,806,154,0.4084153489423298,0.41148529918007215,0.4084153489423298
0.01,0.7,0.4,25.0,6.0,200,2500,300,781,655,126,0.5576856300881355,0.7290575999078692,0.5576856300881355
0.01,0.7,0.4,25.0,6.0,400,750,150,1073,916,157,-0.02147236618888501,-0.4932428578571468,-0.4932428578571468
0.01,0.7,0.4,25.0,6.0,400,750,300,835,705,130,0.12797603404929167,-0.9354644452513314,-0.9354644452513314
0.01,0.7,0.4,25.0,6.0,400,1500,150,958,812,146,0.3003720814500455,-0.21482822481612568,-0.21482822481612568
0.01,0.7,0.4,25.0,6.0,400,1500,300,714,601,113,0.3807253866903609,0.4741804514290953,0.3807253866903609
